ubigeo,periodo,departamento,provincia,distrito,ranking,irsip,nivel,percentil,rezago_conflictos,ejecucion_pct,canon_pc,mineria_pc,monto_canon,canon_12m,pim_canon,devengado_canon,mineria_12m,poblacion,n_rezago_conflictos,n_ejecucion_canon,n_canon_pc,n_mineria_pc,contrib_rezago,contrib_ejecucion,contrib_canon,contrib_mineria,irsip_bruto
050206,2026-02-01,Ayacucho,Cangallo,Totos,344,28.5,Bajo,81.8,0,0,47.89848460615753,0,10269.3,119794.10999999999,5378174,0,0,2501,0,0,0.3289511195873285,0,0,-0,0.03651357427419346,0,0.03651357427419346
120204,2026-02-01,Junín,Concepción,Chambara,345,28.49,Bajo,81.8,0,0,47.82295048701303,0,4457.33,117835.75000000012,633765,0,0,2464,0,0,0.32882038409836106,0,0,-0,0.036499062634918075,0,0.036499062634918075
120210,2026-02-01,Junín,Concepción,Matahuasi,346,28.49,Bajo,81.7,0,0,47.73971428571427,0,11635.029999999999,320810.8799999999,839956,0,0,6720,0,0,0.3286760832848094,0,0,-0,0.03648304524461384,0,0.03648304524461384
120130,2026-02-01,Junín,Huancayo,San Jerónimo de Tunan,347,28.46,Bajo,81.7,0,0,46.43234735315448,0,23978.02,640302.0700000003,1981860,0,0,13790,0,0,0.3263766786593335,0,0,-0,0.03622781133118602,0,0.03622781133118602
050115,2026-02-01,Ayacucho,Huamanga,Jesús Nazareno,348,28.37,Bajo,81.6,0,0,43.290326856727816,0,81147.23,953599.3200000003,10483799,0,0,22028,0,0,0.3205804922729025,0,0,-0,0.035584434642292176,0,0.035584434642292176
210705,2026-02-01,Puno,Lampa,Ocuviri,349,28.35,Bajo,81.6,1,3.700378988449665,747.2520533980585,0,183798.91999999998,1539339.2300000004,2711956,100352.65,0,2060,0.125,0.6171337916446324,0.5596542084919334,0,0.076375,-0.10306134320465363,0.062121617142604606,0,0.03543527393795098
090709,2026-02-01,Huancavelica,Tayacaja,Huaribamba,350,28.34,Bajo,81.5,0,0,42.500472861842105,0,7819.76,103361.15,1702206,0,0,2432,0,0,0.31905872020388365,0,0,-0,0.035415517942631085,0,0.035415517942631085
120112,2026-02-01,Junín,Huancayo,Colca,351,28.34,Bajo,81.5,0,0,42.549017278617725,0,1387.8300000000002,39400.390000000014,44260,0,0,926,0,0,0.3191530422421841,0,0,-0,0.035425987688882436,0,0.035425987688882436
120802,2026-02-01,Junín,Yauli,Chacapalpa,352,28.33,Bajo,81.4,0,0.01050835065788186,5434.053155080214,0,88822.23999999999,3048503.8200000003,7612993,800,0,561,0,0.27181385510312006,0.7273443533508439,0,0,-0.045392913802221053,0.08073522322194368,0,0.03534230941972263
120105,2026-02-01,Junín,Huancayo,Chacapampa,353,28.22,Bajo,81.4,0,0,38.7205320435308,0,1226.42,32021.879999999976,154392,0,0,827,0,0,0.3113711155436102,0,0,-0,0.03456219382534073,0,0.03456219382534073
130703,2026-02-01,La Libertad,Pacasmayo,Jequetepeque,354,28.21,Bajo,81.3,0,0,38.392722330097094,0,609.49,197722.52000000002,743026,0,0,5150,0,0,0.310670281596564,0,0,-0,0.034484401257218605,0,0.034484401257218605
230302,2026-02-01,Tacna,Jorge Basadre,Ilabaya,355,28.19,Bajo,81.3,0,14.904266411953992,25354.10537358491,1408856.5906792542,19343337.95,201565137.72000003,217107375,17687152.84,11200409895.90007,7950,0,0.9450026441036489,0.8575896497025848,0.8734125003234011,0,-0.15781544156530938,0.09519245111698692,0.09694878753589753,0.03432579708757506
090508,2026-02-01,Huancavelica,Churcampa,San Miguel de Mayocc,356,28.16,Bajo,81.2,0,0,36.87774957698816,0,5388.5,21794.75,405211,0,0,591,0,0,0.3073537282250611,0,0,-0,0.03411626383298178,0,0.03411626383298178
120214,2026-02-01,Junín,Concepción,San José de Quero,357,28.1,Bajo,81.1,0,0,35.285175590097836,0,0,183871.0499999998,808329,0,0,5211,0,0,0.3037211112175064,0,0,-0,0.03371304334514321,0,0.03371304334514321
090207,2026-02-01,Huancavelica,Acobamba,Pomacocha,358,28.06,Bajo,81.1,0,0,34.167726449275364,0,6046.54,75442.34,611012,0,0,2208,0,0,0.3010757597601938,0,0,-0,0.033419409333381514,0,0.033419409333381514
211101,2026-02-01,Puno,San Román,Juliaca,359,27.85,Bajo,81,1,2.4892121669030787,95.13086063026243,0,1632914.04,25252011.300000012,48796871,356115.77,0,265445,0.125,0.5230037017451085,0.38611657141265254,0,0.076375,-0.08734161819143312,0.04285893942680443,0,0.031892321235371314
050903,2026-02-01,Ayacucho,Sucre,Chalcos,360,27.81,Bajo,81,0,0,27.97783132530121,0,998.1899999999999,11610.800000000003,91386,0,0,415,0,0,0.2847034379564218,0,0,-0,0.031602081613162816,0,0.031602081613162816
200104,2026-02-01,Piura,Piura,Castilla,361,27.79,Bajo,80.9,0,0,27.646965946334205,0,25390.06,5812138.710000001,10170329,0,0,210227,0,0,0.28373228695070873,0,0,-0,0.03149428385152867,0,0.03149428385152867
050409,2026-02-01,Ayacucho,Huanta,Canayre,362,27.75,Bajo,80.9,1,2.989111457025485,173.2402379110252,0,75782.26,895652.0300000003,2577388,77041,0,5170,0.125,0.5605499735589635,0.4364117095473488,0,0.076375,-0.09361184558434692,0.04844169975975572,0,0.031204854175408803
220704,2026-02-01,San Martín,Picota,Pilluana,363,27.66,Bajo,80.8,0,0,24.90882966396293,0,82.24,21496.320000000007,180987,0,0,863,0,0,0.2752361930427207,0,0,-0,0.030551217427741997,0,0.030551217427741997
080704,2026-02-01,Cusco,Chumbivilcas,Colquemarca,364,27.42,Bajo,80.8,1,4.750002284224882,1220.5728746132313,0,241634.83,8284028.1000000015,17620857,477052.53,0,6787,0.125,0.6842940243257536,0.6011059913666126,0,0.076375,-0.11427710206240085,0.066722765041694,0,0.028820662979293143
021016,2026-02-01,Áncash,Huari,Uco,365,27.39,Bajo,80.7,0,0.4897798376802506,6585.72752389227,0,542866.32,7580172.380000003,18549314,90850.8,0,1151,0,0.32310946589106293,0.7435974029966748,0,0,-0.05395928080380751,0.0825393117326309,0,0.028580030928823393
020101,2026-02-01,Áncash,Huaraz,Huaraz,366,27.35,Bajo,80.7,0,0.550093828491077,6992.098954938886,0,118194973.82,501662123.72000027,59589576,163045.4,0,71747,0,0.32786885245901637,0.7486602955291861,0,0,-0.054754098360655735,0.08310129280373967,0,0.02834719444308393
110304,2026-02-01,Ica,Nasca,Marcona,367,27.29,Bajo,80.6,0,9.415809736206928,6771.322781785816,555071.6456341096,11098548.51,144540656.10000002,561570850,37962004.53,11848559347.705704,21346,0,0.8709677419354839,0.7459473567204474,0.8159530634388272,0,-0.1454516129032258,0.08280015659596966,0.09057079004170983,0.027919333734453683
100904,2026-02-01,Huánuco,Puerto Inca,Tournavista,368,27.02,Bajo,80.6,1,1.2738996113062067,5.112557438253876,0,6441.74,35603.84999999999,2590471,33000,0,6964,0.125,0.4034902168164992,0.15309869465621478,0,0.076375,-0.06738286620835537,0.01699395510683984,0,0.025986088898484465
170303,2026-02-01,Madre de Dios,Tahuamanu,Tahuamanu,369,27.01,Bajo,80.5,0,0,14.805972081218266,0,179.48,58335.52999999997,178454,0,0,3940,0,0,0.23344264082538685,0,0,-0,0.02591213313161794,0,0.02591213313161794
150608,2026-02-01,Lima,Huaral,Pacaraos,370,26.97,Bajo,80.5,0,1.6794659552086006,382.58097029702964,655.231745652847,71333.47,579610.1699999999,2836616,3000,992676.0946640633,1515,0,0.446853516657853,0.5031462646661985,0.4001473711189279,0,-0.07462453728186146,0.05584923537794803,0.044416358194201,0.025641056290287574
020508,2026-02-01,Áncash,Bolognesi,Huallanca,371,26.94,Bajo,80.4,0,5.779429811445853,1637.242831034483,120725.4820936887,699875.87,9496008.420000002,21552695,932902.6799999999,700207796.1433945,5800,0,0.7435219460602855,0.6259256566627961,0.7218418934955529,0,-0.12416816499206769,0.06947774788957037,0.08012445017800637,0.025434033075509052
090304,2026-02-01,Huancavelica,Angaraes,Ccochaccasa,372,26.84,Bajo,80.4,0,4.226363656016995,355.0133482642776,96468.91351320744,185694.5,951080.7599999998,4394345,185721,258440219.30188274,2679,0,0.6530936012691697,0.49683891270855507,0.7080052494849929,0,-0.10906663141195135,0.055149119310649614,0.07858858269283421,0.02467107059153248
220803,2026-02-01,San Martín,Rioja,Elías Soplin Vargas,373,26.8,Bajo,80.3,0,0,12.410586803475129,0,19915.64,331412.3099999998,1056721,0,0,26704,0,0,0.21954432005418834,0,0,-0,0.024369419526014905,0,0.024369419526014905
180202,2026-02-01,Moquegua,General Sánchez Cerro,Chojata,374,26.73,Bajo,80.2,1,5.599067306440514,1680.1346958637478,0,71138.62,690535.3600000003,860304,48169,0,411,0.125,0.7318878900052882,0.6281113162820229,0,0.076375,-0.12222527763088313,0.06972035610730454,0,0.023870078476421405
160102,2026-02-01,Loreto,Maynas,Alto Nanay,375,26.71,Bajo,80.2,1,0.38218170552977937,0.012717977847202508,0,0.17,44.78000000000003,14487088,29967,0,3521,0.125,0.3157059756742464,0.00106876197748058,0,0.076375,-0.052722897937599156,1.186325795003444e-4,0,0.023770734641901187
060801,2026-02-01,Cajamarca,Jaén,Jaén,376,26.69,Bajo,80.1,1,3.957368896331136,296.3225316204463,0,3857589.39,32846167.33999999,40136024,1130481.71,0,110846,0.125,0.6361713379164463,0.48160378636027934,0,0.076375,-0.10624061343204654,0.05345802028599101,0,0.023592406853944474
030406,2026-02-01,Apurímac,Aymaraes,Cotaruse,377,26.63,Bajo,80.1,0,0.03411291081082003,1608.975208105148,0,500740.24,2937988.7300000004,8208036,2800,0,1826,0,0.2760444209413009,0.6244536995524221,0,0,-0.04609941829719725,0.06931436065031886,0,0.02321494235312161
100704,2026-02-01,Huánuco,Marañón,La Morada,378,26.51,Bajo,80,0,0,9.783546635182999,0,4688.16,41433.32,285444,0,0,4235,0,0,0.2011063851757713,0,0,-0,0.022322808754510617,0,0.022322808754510617
100316,2026-02-01,Huánuco,Dos de Mayo,Quivilla,379,26.46,Bajo,80,0,0,9.371861413043481,0,943.8000000000001,6897.690000000002,78350,0,0,736,0,0,0.19781454472118398,0,0,-0,0.021957414464051424,0,0.021957414464051424
051005,2026-02-01,Ayacucho,Víctor Fajardo,Canaria,380,26.44,Bajo,79.9,0,5.120213106498961,450.7801225919436,152882.67869489157,335031.09,1801768.1499999985,8012895,410277.3,611072066.7434816,3997,0,0.7022739291380222,0.516985512450367,0.7364097712952533,0,-0.11727974616604972,0.05738539188199073,0.08174148461377312,0.02184713032971413
060202,2026-02-01,Cajamarca,Cajabamba,Cachachi,381,26.44,Bajo,79.9,0,3.1819036352858605,1300.4565828812308,1777.2920892360798,3514786.8899999997,33318998.110000014,60297569,1918610.54,45536000.618317604,25621,0,0.5790586991010047,0.6064629853394392,0.4616449316876994,0,-0.0967028027498678,0.06731739137267775,0.05124258741733463,0.021857176040144588
100203,2026-02-01,Huánuco,Ambo,Colpas,382,26.33,Bajo,79.8,0,0,8.386793703396853,0,1622.28,10122.86,169073,0,0,1207,0,0,0.18937519502511116,0,0,-0,0.021020646647787338,0,0.021020646647787338
