ubigeo,periodo,irsip,irsip_bruto,contrib_rezago,contrib_ejecucion,contrib_canon,contrib_mineria
100904,2024-08-01,25.06,0.011979871207084249,0.076375,-0.07581269841269841,0.011417569619782665,0
100904,2024-09-01,23.86,0.0034238386813454716,0.076375,-0.0843835978835979,0.011432436564943367,0
100904,2024-10-01,22.99,-0.0028037832061470723,0.076375,-0.0919825396825397,0.012803756476392623,0
100904,2024-11-01,22.16,-0.008709931713290346,0.076375,-0.0979026455026455,0.01281771378935516,0
100904,2024-12-01,15.27,-0.057942887453893255,0.076375,-0.14711904761904762,0.012801160165154368,0
100904,2025-01-01,35.97,0.08989265215310102,0.076375,-0,0.013517652153101026,0
100904,2025-02-01,29.38,0.042835332535898385,0.076375,-0.04707086197778953,0.013531194513687917,0
100904,2025-03-01,28.01,0.033045251683260266,0.076375,-0.05687361184558435,0.013543863528844614,0
100904,2025-04-01,25.71,0.016617957962266353,0.076375,-0.0740946589106293,0.014337616872895658,0
100904,2025-05-01,25.19,0.01291633713981235,0.076375,-0.07780380750925438,0.014345144649066728,0
100904,2025-06-01,27.86,0.03197432312284793,0.076375,-0.061112638815441565,0.0167119619382895,0
100904,2025-07-01,27.61,0.030164170240461273,0.076375,-0.06314383923849815,0.01693300947895942,0
100904,2025-08-01,26.04,0.01896151252230831,0.076375,-0.07435959809624537,0.016946110618553684,0
100904,2025-09-01,26.7,0.02365547101707839,0.076375,-0.06967900581702803,0.016959476834106424,0
100904,2025-10-01,27.84,0.03184875399152779,0.076375,-0.06146589106292967,0.016939645054457463,0
100904,2025-11-01,29.46,0.043430287666757356,0.076375,-0.049896879957694346,0.0169521676244517,0
100904,2025-12-01,30.5,0.05079169559478393,0.076375,-0.042566895822316236,0.016983591417100166,0
100904,2026-01-01,36.25,0.09185928847287905,0.076375,-0,0.015484288472879058,0
100904,2026-02-01,27.02,0.025986088898484465,0.076375,-0.06738286620835537,0.01699395510683984,0
100905,2019-01-01,NA,NA,NA,-0,NA,NA
100905,2019-02-01,NA,NA,0,-0.1169,NA,NA
100905,2019-03-01,NA,NA,0,-0.09403796791443851,NA,NA
100905,2019-04-01,NA,NA,0,-0.09180534759358289,NA,NA
100905,2019-05-01,NA,NA,0,-0.09118021390374333,NA,NA
100905,2019-06-01,NA,NA,0,-0.0900192513368984,NA,NA
100905,2019-07-01,NA,NA,0,-0.09805668449197862,NA,NA
100905,2019-08-01,NA,NA,0,-0.10546898395721926,NA,NA
100905,2019-09-01,NA,NA,0,-0.10216470588235295,NA,NA
100905,2019-10-01,NA,NA,0,-0.11475668449197861,NA,NA
100905,2019-11-01,NA,NA,0,-0.11779304812834225,NA,NA
100905,2019-12-01,5.76,-0.12584513975554387,0,-0.14459647247461252,0.018751332719068658,0
100905,2020-01-01,26.22,0.020279135438203446,0,-0,0.020279135438203446,0
100905,2020-02-01,17.4,-0.042701584832499764,0,-0.05652856380138815,0.013826978968888385,0
100905,2020-03-01,17.89,-0.03925644882800653,0,-0.05305125467164977,0.013794805843643239,0
100905,2020-04-01,18.49,-0.034965844893177084,0,-0.04903897490656701,0.014073130013389928,0
100905,2020-05-01,18.17,-0.03725220814153486,0,-0.05126801922050187,0.014015811078967008,0
100905,2020-06-01,19.98,-0.02429839379374664,0,-0.038250400427122265,0.013952006633375626,0
100905,2020-07-01,20.5,-0.020560179688419923,0,-0.0344164442071543,0.013856264518734375,0
100905,2020-08-01,19.28,-0.029283120918702332,0,-0.043065136145221575,0.01378201522651924,0
100905,2020-09-01,14.16,-0.0658467714484896,0,-0.08033475707421249,0.01448798562572288,0
100905,2020-10-01,7.1,-0.11628267181575465,0,-0.12999786438868127,0.013715192572926626,0
100905,2020-11-01,5.29,-0.12925186092811794,0,-0.14292632140950348,0.013674460481385552,0
100905,2020-12-01,6.75,-0.11876356062284468,0,-0.13240523224773093,0.013641671624886253,0
100905,2021-01-01,24.98,0.01142971800967879,0,-0,0.01142971800967879,0
100905,2021-02-01,18.66,-0.03373600004432084,0,-0.04502277542372881,0.011286775379407967,0
100905,2021-03-01,11.36,-0.0858654308686702,0,-0.0971218220338983,0.011256391165228094,0
